,Equipe,# J,90s,SCA,SCA90,Passe em jogo,Passe de bola parada,TO,TC,FltsP,Def,GCA,GCA90,Passe em jogo,Passe de bola parada,TO,TC,FltsP,Def
0,Augsburg,34,34.0,578,1700,383,76,26,42,37,14,70,206,42,6,3,10,5,4
1,Bayern Munich,28,34.0,1094,3218,841,63,68,78,24,20,153,450,114,2,12,16,5,4
2,Bochum,26,34.0,678,1994,464,92,22,41,46,13,67,197,44,10,4,4,5,0
3,Dortmund,30,34.0,1014,2982,735,74,80,72,41,12,144,424,102,5,16,10,8,3
4,Eint Frankfurt,28,34.0,711,2091,507,62,50,47,35,10,95,279,64,2,10,11,8,0
5,Freiburg,27,34.0,724,2129,499,87,31,51,45,11,87,256,57,11,3,7,9,0
6,Gladbach,27,34.0,725,2132,509,89,32,43,40,12,81,238,60,7,4,7,3,0
7,Hertha BSC,32,34.0,652,1918,436,65,56,38,42,15,70,206,49,4,5,3,9,0
8,Hoffenheim,31,34.0,719,2115,513,65,46,36,47,12,83,244,57,3,9,7,6,1
9,K̦ln,27,34.0,705,2074,505,78,37,50,27,8,78,229,57,4,5,7,5,0
10,Leverkusen,27,34.0,792,2329,576,59,57,47,42,11,105,309,72,3,15,4,8,3
11,Mainz 05,27,34.0,696,2047,483,77,32,54,38,12,84,247,51,9,3,13,6,2
12,RB Leipzig,25,34.0,874,2571,629,70,55,63,46,11,108,318,76,5,6,10,9,2
13,Schalke 04,35,34.0,715,2103,487,92,26,51,48,11,56,165,38,6,2,2,7,1
14,Stuttgart,30,34.0,810,2382,561,85,52,54,46,12,83,244,64,3,5,4,5,2
15,Union Berlin,28,34.0,650,1912,469,67,29,32,43,10,86,253,56,11,3,5,9,2
16,Werder Bremen,25,34.0,649,1909,502,46,30,25,41,5,90,265,71,6,3,4,6,0
17,Wolfsburg,28,34.0,713,2097,510,63,40,46,47,7,102,300,75,7,6,5,9,0
